NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Mailing Address,Provider Second Line Business Mailing Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,Provider Business Mailing Address Postal Code,Provider Business Mailing Address Country Code (If outside U.S.),Provider Business Mailing Address Telephone Number,Provider Business Mailing Address Fax Number,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number,Provider Enumeration Date,Last Update Date,Authorized Official Last Name,Authorized Official First Name,Authorized Official Middle Name,Authorized Official Title or Position,Authorized Official Telephone Number,Healthcare Provider Taxonomy Code_1,Provider License Number_1,Provider License Number State Code_1,Healthcare Provider Primary Taxonomy Switch_1,Healthcare Provider Taxonomy Code_2,Healthcare Provider Taxonomy Code_3,Healthcare Provider Taxonomy Code_4,Healthcare Provider Taxonomy Code_5,Healthcare Provider Taxonomy Code_6,Healthcare Provider Taxonomy Code_7,Healthcare Provider Taxonomy Code_8,Healthcare Provider Taxonomy Code_9,Healthcare Provider Taxonomy Code_10,Healthcare Provider Taxonomy Code_11,Healthcare Provider Taxonomy Code_12,Healthcare Provider Taxonomy Code_13,Healthcare Provider Taxonomy Code_14,Healthcare Provider Taxonomy Code_15,Other Provider Identifier_1,Other Provider Identifier Type Code_1,Other Provider Identifier State_1,Other Provider Identifier Issuer_1,Other Provider Identifier_2,Other Provider Identifier Type Code_2,Other Provider Identifier State_2,Other Provider Identifier Issuer_2,Other Provider Identifier_3,Other Provider Identifier Type Code_3,Other Provider Identifier State_3,Other Provider Identifier Issuer_3,Other Provider Identifier_4,Other Provider Identifier Type Code_4,Other Provider Identifier State_4,Other Provider Identifier Issuer_4,Other Provider Identifier_5,Other Provider Identifier Type Code_5,Other Provider Identifier State_5,Other Provider Identifier Issuer_5,Other Provider Identifier_6,Other Provider Identifier Type Code_6,Other Provider Identifier State_6,Other Provider Identifier Issuer_6,Other Provider Identifier_7,Other Provider Identifier Type Code_7,Other Provider Identifier State_7,Other Provider Identifier Issuer_7,Other Provider Identifier_8,Other Provider Identifier Type Code_8,Other Provider Identifier State_8,Other Provider Identifier Issuer_8,Other Provider Identifier_9,Other Provider Identifier Type Code_9,Other Provider Identifier State_9,Other Provider Identifier Issuer_9,Is Sole Proprietor,Is Organization Subpart,Parent Organization LBN,Parent Organization TIN,Authorized Official Name Prefix Text,Authorized Official Name Suffix Text,Authorized Official Credential Text,Healthcare Provider Taxonomy Group_1,Healthcare Provider Taxonomy Group_2,Certification Date
1881687994,2,GONZALES HEALTHCARE SYSTEMS,MEMORIAL HOSPITAL - SWING BED,3,PO BOX 587,,GONZALES,TX,786290587,US,8306727581,8306722401,1110 N SARAH DEWITT DR,,GONZALES,TX,786293311,8306727581,8306722401,8/24/2005,8/22/2024,NORRIS,CHUCK,,CEO/ADMINISTRATOR,8306727581,275N00000X,103,TX,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,1/23/2020
1699768705,2,GONZALES HEALTHCARE SYSTEMS,,,PO BOX 587,,GONZALES,TX,786290587,US,8306727581,8306727581,1110 N SARAH DEWITT DR,,GONZALES,TX,786293311,8306727581,8306727581,8/24/2005,2/26/2024,ANZALDUA,BRANDON,,CEO/ADMINISTRATOR,8306727581,282N00000X,103,TX,Y,,,,,,,,,,,,,,,93688201,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,2/26/2024
1508859612,2,GONZALES HEALTHCARE SYSTEMS,MEMORIAL HOSPITAL,3,PO BOX 587,,GONZALES,TX,786290587,US,8306727581,8306722401,1110 N SARAH DEWITT DR,,GONZALES,TX,786293311,8306727581,8306722401,8/24/2005,7/9/2024,ANZALDUA,BRANDON,,CEO/ADMINISTRATOR,8306727581,282N00000X,103,TX,Y,,,,,,,,,,,,,,,7150801,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,7/9/2024
1720072457,2,CENTRAL TEXAS AMBULATORY ENDOSCOPY CENTER,,,1305 WONDER WORLD DR,SUITE 105,SAN MARCOS,TX,786667546,US,5127548676,5127548680,1305 WONDER WORLD DR,SUITE 105,SAN MARCOS,TX,786667546,5127548676,5127548680,9/8/2005,10/17/2007,ANDERS,BONNIE,LYNN,ADMINISTRATIVE ASST.,5127548676,261QE0800X,385,TX,Y,,,,,,,,,,,,,,,87945401,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MRS.,,,,,
1952398141,2,AUSTIN EYE CLINIC ASSOCIATION,AUSTIN EYE LASER AND SURGICENTER,3,11901 JOLLYVILLE RD,,AUSTIN,TX,787592303,US,5122502020,5122502612,11901 JOLLYVILLE RD,,AUSTIN,TX,787592303,5122502020,5122502612,10/3/2005,9/8/2020,WONG,SHANNON,M,CEO,5122502020,261QA1903X,7153,TX,Y,,,,,,,,,,,,,,,HH1529,1,TX,BCBS TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AUSTIN EYE CLINIC ASSOCIATION,<UNAVAIL>,,,MD,,,9/8/2020
1992786883,2,"SAN MARCOS MRI, LP",ADVANCED IMAGING SAN MARCOS,3,1330 WONDER WORLD DR,STE 202,SAN MARCOS,TX,786667566,US,5123535535,5123537797,1330 WONDER WORLD DR,STE 202,SAN MARCOS,TX,786667566,5123535535,5123537797,11/8/2005,12/21/2011,VITAL,SYD,G.,ADMINISTRATOR,5123535535,261QR0200X,R29023,TX,Y,,,,,,,,,,,,,,,1724924 01,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,
1528049855,2,CENTER FOR AESTHETIC AND RECONSTRUCTIVE EYELID AND ORBITAL SURGERY,CAREOS,3,3705 MEDICAL PKWY,SUITE 120,AUSTIN,TX,787051019,US,5124584391,5124585933,3705 MEDICAL PKWY,SUITE 120,AUSTIN,TX,787051019,5124584391,5124585933,11/14/2005,7/29/2013,BLADYON,SEAN,MATTHEW,MEDICAL DIRECTOR,5124582141,261QA1903X,352,TX,Y,,,,,,,,,,,,,,,85968801,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,DR.,,M.D.,,,
1982686184,2,LLANO COUNTY HOSPITAL AUTHORITY,HOERSTER LAKE AREA HEALTH CENTER,3,200 W OLLIE ST,,LLANO,TX,786432628,US,3252475040,3252482108,100 PECAN CROSSING,,HORSESHOE BAY,TX,786574733,8305984405,8305985172,11/15/2005,10/29/2008,LEEPER,KEVIN,A,CEO,3252477868,261QR1300X,476,TX,Y,,,,,,,,,,,,,,,162715001,5,TX,,00298K,1,TX,BCBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,
1124000740,2,LLANO COUNTY HOSPITAL AUTHORITY,HOERSTER CLINIC MARBLE FALLS,3,200 W OLLIE ST,,LLANO,TX,786432628,US,3252475040,3252482108,706 AVENUE G,,MARBLE FALLS,TX,786545866,8306938234,8306939090,11/18/2005,8/26/2008,LEEPER,KEVIN,A,CEO,3252477868,261QR1300X,476,TX,Y,,,,,,,,,,,,,,,00298K,1,TX,BCBS,63574001,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,
1033191655,2,LLANO COUNTY HOSPITAL AUTHORITY,HOERSTER CLINIC KINGSLAND,3,200 W OLLIE ST,,LLANO,TX,786432628,US,3252475040,3252482108,2112 HWY 1431,,KINGSLAND,TX,786396010,3253883515,,11/18/2005,4/29/2013,LEEPER,KEVIN,A,CEO,3252477868,261QR1300X,476,TX,Y,,,,,,,,,,,,,,,00298K,1,TX,BCBS,63569001,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,
1942282561,2,LLANO COUNTY HOSPITAL AUTHORITY,HOERSTER CLINIC LLANO,3,200 W OLLIE ST,,LLANO,TX,786432628,US,3252475040,3252482108,102 E YOUNG ST,,LLANO,TX,786431349,3252474131,3252482099,11/18/2005,8/26/2008,LEEPER,KEVIN,A,CEO,3252477868,261QR1300X,476,TX,Y,,,,,,,,,,,,,,,121870303,5,TX,,00298K,1,TX,BCBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,
1013991017,2,"EASTER SEALS CENTRAL TEXAS, INC.",,,2324 RIDGEPOINT DR STE F1,,AUSTIN,TX,787545214,US,5126156800,5126157121,2324 RIDGEPOINT DR STE F1,,AUSTIN,TX,787545214,5126156800,5126157121,12/2/2005,6/20/2024,KHOURY,CAROL,,CFO,2127274270,101YP2500X,18436,TX,N,103K00000X,133V00000X,171M00000X,2251P0200X,225XP0200X,231H00000X,235Z00000X,237600000X,252Y00000X,261QD1600X,261QR0401X,,,,21286202,5,TX,,0082CM,1,TX,BLUE CROSS PROVIDER GROUP,21286201,5,TX,,21286204,5,TX,,4760702,5,TX,,172268801,5,TX,,126129901,5,TX,,,,,,,,,,,N,,,,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,6/20/2024
1992780902,2,AUSTIN OPEN MRI LP,AUSTIN HEALTH IMAGING LP,3,PO BOX 933367,,ATLANTA,GA,31193,US,4042965887,,711 W 38TH ST,SUITE B1,AUSTIN,TX,787051121,5124518595,,12/13/2005,12/10/2012,ARANT,SCOTT,WARREN,CEO,4042965887,261QR0200X,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1609852045,2,LABORATORY CORPORATION OF AMERICA,,,PO BOX 2240,,BURLINGTON,NC,272162240,US,8002227566,3364361048,4509 FREIDRICH LN,STE 100 - A BLDG 1,AUSTIN,TX,787441857,5124522529,,12/19/2005,4/11/2019,WILLIAMS,KIMBERLY,,VP,8002227566,291U00000X,,,Y,,,,,,,,,,,,,,,45D0504958,1,TX,CLIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1033196464,2,AUSTIN RADIOLOGICAL ASSOCIATION,,,12554 RIATA VISTA CIR,,AUSTIN,TX,787276431,US,5127955100,5125193451,12554 RIATA VISTA CIR,,AUSTIN,TX,787276431,5127955100,5125193451,12/28/2005,7/10/2024,LEBLEU,SHARLEE,,VICE PRESIDENT,4803217026,261QR0200X,R00151,TX,Y,,,,,,,,,,,,,,,131020302,5,TX,,349878401,5,CO,,CS3080,1,TX,RAILROAD MEDICARE,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,7/10/2024
1720065170,2,"ARA/ST. DAVID'S IMAGING, LP",ARA IMAGING,5,12554 RIATA VISTA CIR,,AUSTIN,TX,787276431,US,5127955100,5125193451,2120 N MAYS ST,SUITE 220,ROUND ROCK,TX,786642192,5122387195,5122186558,12/28/2005,7/10/2024,LEBLEU,SHARLEE,,VICE PRESIDENT,4803217026,261QR0200X,R28983,TX,Y,261QR0208X,,,,,,,,,,,,,,P00198399,1,TX,RAILROAD MEDICARE,170887702,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,7/10/2024
1225015530,2,"ARA/ST. DAVID'S IMAGING, LP",ARA IMAGING,5,12554 RIATA VISTA CIR,,AUSTIN,TX,787276431,US,5127955100,5125193451,1701 W BEN WHITE BLVD,SUITE 170,AUSTIN,TX,787047667,5124289090,5124289864,12/28/2005,7/10/2024,LEBLEU,SHARLEE,,VICE PRESIDENT,4803217026,261QR0200X,R28983,TX,Y,,,,,,,,,,,,,,,P00198486,1,TX,RAILROAD MEDICARE,170887701,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,7/10/2024
1356328579,2,ACCUPATH DIAGNOSTIC LABORATORIES INC,,,PO BOX 2240,,BURLINGTON,NC,272162240,US,8002227566,,4509 FREIDRICH LN,,AUSTIN,TX,787441857,5124434363,,12/29/2005,12/19/2013,WILLIAMS,KIMBERLY,,VP,8002227566,291U00000X,,,Y,,,,,,,,,,,,,,,45D0505974,1,TX,CLIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1710964655,2,AUSTIN RADIOLOGICAL ASSOCIATION,,,12554 RIATA VISTA CIR,,AUSTIN,TX,787276431,US,5127955100,5125193451,1348 HIGHWAY 123,,SAN MARCOS,TX,786667848,5123921831,5123534528,12/30/2005,7/10/2024,LEBLEU,SHARLEE,,VICE PRESIDENT,4803217026,261QR0200X,R00151,TX,Y,261QR0208X,,,,,,,,,,,,,,131020304,5,TX,,203298901,5,TX,,CG5736,1,TX,RAILROAD MEDICARE,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,7/10/2024
1225008907,2,"GIDDINGS PHYSICAL THERAPY CLINIC, INC",ELGIN PHYSICAL THERAPY CLINIC,3,PO BOX 961,,ELGIN,TX,786210961,US,5122854406,5122852030,600 N MAIN ST,,ELGIN,TX,786211628,5122854406,5122852030,1/25/2006,5/12/2022,SOSA-CORTINAS,IRINA,N,CEO,5122854406,261QP2000X,,,Y,,,,,,,,,,,,,,,168637001,5,TX,,2657352,1,TX,AETNA,8T0982,1,TX,BLUE CROSS BLUE SHIELD,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,PTA,,,5/12/2022
1235100074,2,"AUSTIN ENDOSCOPY CENTER I, LP",,,8015 SHOAL CREEK BLVD,300,AUSTIN,TX,787578066,US,5123711519,5123713131,8015 SHOAL CREEK BLVD,300,AUSTIN,TX,787578066,5123711519,5123713131,1/30/2006,11/19/2009,LEVY,BRUCE,A,CEO,5124200186,261QA1903X,ASC112,TX,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,"MD, JD",,,
1497726343,2,HILL COUNTRY MEMORIAL HOSPITAL,,,PO BOX 835,,FREDERICKSBURG,TX,786240835,US,8309974353,8309971300,1020 HWY 16 S,,FREDERICKSBURG,TX,786244471,8309974353,8309971300,1/30/2006,7/21/2022,BRAUDWAY,DONNA,M,BUSINESS OFFICE MANAGER,8309971387,282N00000X,,TX,Y,,,,,,,,,,,,,,,136430905,5,TX,,136430906,5,TX,,HH0659,1,TX,BLUE CROSS,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MS.,,,,,
1003887845,2,"AUSTIN ENDOSCOPY CENTER II, LP",,,4310 JAMES CASEY ST,4B,AUSTIN,TX,787451120,US,5125328000,,4310 JAMES CASEY ST,4B,AUSTIN,TX,787451120,5125328000,,1/30/2006,12/22/2009,LEVY,BRUCE,A,CEO,5124200186,261QA1903X,ASC108,TX,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,"MD, JD",,,
1366416125,2,"TEXAS ORTHOPEDICS SURGERY CENTER, LLC","TEXAS ORTHOPEDICS SURGERY CENTER LIMITED PARTNERSHIP, LL",4,4700 SETON CENTER PKWY,SUITE 100,AUSTIN,TX,787596215,US,5124391006,5124391081,4700 SETON CENTER PARKWAY #100,,AUSTIN,TX,787595295,5124391043,5124391081,2/16/2006,10/13/2023,BLACH,PETER,,AUTHORIZED OFFICIAL,7133430832,261QA1903X,7846,TX,Y,,,,,,,,,,,,,,,152775601,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,10/13/2023
1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266,5128462245,101 PARK ST,,HUTTO,TX,78634,5128462266,5128462245,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,261QM1300X,,,Y,,,,,,,,,,,,,,,91LV,1,TX,BCBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,MSPT,,,
1083673214,2,BUILDING A STRONGER COMMUNITY TOMORROW THROUGH THE CHILDREN OF TODAY,ROUND ROCK HEALTH CLINIC,3,2120 N MAYS ST,#430,ROUND ROCK,TX,786642108,US,5122555120,5122555268,2120 N MAYS ST,#430,ROUND ROCK,TX,786642108,5122555120,5122555268,3/17/2006,8/22/2020,BARTON,ETH,,BUSINESS MANAGER,5122555120,261QR1300X,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MS.,,,,,
1245292630,2,AUSTIN CENTER FOR OUTPATIENT SURGERY LP,NORTHWEST HILLS SURGICAL HOSPITAL,3,6818 AUSTIN CENTER BLVD # 100,,AUSTIN,TX,787313100,US,,,6818 AUSTIN CENTER BLVD # 100,,AUSTIN,TX,787313100,5123461994,,4/3/2006,7/29/2015,HARBOR,LEA,,VICE PRESIDENT,2055452572,284300000X,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1699738112,2,"NORTH AUSTIN SURGERY CENTER, L.P.",,,12201 RENFERT WAY,SUITE 120,AUSTIN,TX,787585354,US,5128329088,5128336137,12201 RENFERT WAY,SUITE 120,AUSTIN,TX,787585354,5128329088,5128336137,4/7/2006,4/17/2018,SWINNEY,WILLIAM,GREGORY,VP,9727892877,261QA1903X,8141,TX,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1396708384,2,SELECT PHYSICAL THERAPY TEXAS LIMITED PARTNERSHIP,,,3901 S LAMAR BLVD,STE 140,AUSTIN,TX,787048801,US,5124623275,,3901 S LAMAR BLVD,STE 140,AUSTIN,TX,787048801,5124623275,,4/10/2006,9/1/2010,TARVIN,MICHAEL,,VICE PRESIDENT,7179721100,261QR0400X,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1285697235,2,DVA HEALTHCARE RENAL CARE INC,FREDERICKSBURG DIALYSIS,3,5200 VIRGINIA WAY,STE 400 L&C,BRENTWOOD,TN,370277569,US,6153204521,8668905560,402 W WINDCREST ST,,FREDERICKSBURG,TX,786244465,8309973134,8309909252,4/10/2006,3/2/2009,HILGER,JAMES,K,VICE PRESIDENT,2533821919,261QE0700X,6348,TX,Y,,,,,,,,,,,,,,,87925601,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1083677033,2,SELECT PHYSICAL THERAPY TEXAS LIMITED PARTNERSHIP,,,500 W WHITESTONE BLVD,STE 101,CEDAR PARK,TX,786132245,US,5129183000,,500 W WHITESTONE BLVD,STE 101,CEDAR PARK,TX,786132245,5129183000,,4/10/2006,9/1/2010,TARVIN,MICHAEL,,VICE PRESIDENT,7179721100,261QR0400X,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
